text,sentiment
great video! very informative and helpful.,Positive
i learned a lot from this. thank you,Positive
awesome content,Positive
this video made my day. keep it up,Positive
i love your channel. subscribed,Positive
good,Positive
awesome,Positive
beautiful,Positive
excellent job,Positive
excellent,Positive
this is some awesome thinking,Positive
what terrific skills you’re showing,Positive
you are an amazing,Positive
nice idea,Positive
you are showing excellent understanding,Positive
"this is clear, concise and complete",Positive
what a powerful argument,Positive
i knew you could do it,Positive
wonderful ideas,Positive
it was pleasure,Positive
keep up the incredible work,Positive
"my goodness, how impressive",Positive
you are showing inventive ideas,Positive
you’ve shown so much growth,Positive
interesting thoughts,Positive
i love your neat work,Positive
i love your work,Positive
doesn’t it feel good to do such great work,Positive
this is fascinating information,Positive
you inspire me,Positive
this is right on target,Positive
what an astounding observation!,Positive
this is very well thought out,Positive
you’ve come a long way,Positive
i can tell you’ve been paying attention,Positive
reading this made my day,Positive
this is very perceptive,Positive
what an accomplishment,Positive
you make a great point here,Positive
i really like your creativity,Positive
your vedioes are exceptional ,Positive
you have brilliant thoughts,Positive
you have calming voice,Positive
thank you!,Positive
very well done,Positive
"i love this training style. in contrast to the power point lectures done in formal education, it's very old school and i love it!",Positive
is this good for data engineers? i mean can a data engineer learn with this?,Positive
"""go buddy, enjoy!! "".. love it :d:d:d:d",Positive
"thank you, really awesome tutorial",Positive
someone please explain in 5.03.00 (i<m) and m=i i don't get it,Positive
"big thank you from the instructor and the whole team. a wonderful tutorial and free of cost. god bless you, my friend!",Positive
"thank you very much sir with all my heart!!! , i'm currently learning a data science online but unfortunately, it's difficult for me to catch up with the way of teaching of my instructor since i don't have any background in programming. but when i found your channel it,s boost me a lot to learn more and give some extra effort on it!  more power to you sir",Positive
many indian watch this video for learning. because it's our opportunity,Positive
you sound like oscar from the office us,Positive
great! thank you.,Positive
i will complete tomorrow goodnight everyone hope you all achieve your dreams,Positive
woah this is y first day in this course and i finished 2 hours already i feel so happy i was planing to study this 1 hour each day but it’s so interesting ❤,Positive
is there something good in udemy course for the python. did they have more practical aspect. or is it sufficient.,Positive
i was purchasing a course on data science: transformers for natural language processing and i am looking for someone to split the cost with me,Positive
data science: transformers for natural langage processing,Positive
*machine learning: natural language processing in python (v2),Positive
iam very great ful to this channel this channel made my dream come true it's really a great harvard university for students like me❤❤❤,Positive
"thank you your course was very helpful, i have now got a basic understanding of python. i found the videos engaging and thoroughly enjoyed it. point ot note - although the course video is 12 hours, if you are a novice like me it will take you over 20 hours to complete, going back and forth on the video to understand when you have misstyped some of the python code!",Positive
"thankss sir , it was amazing",Positive
"just incase any python beginner sees this, i'm looking for an accountability partner. i study better when i have someone else doing the same thing. so if you would love to be my accountability partner, please like this post and let me know how to reach out to you. thanks.",Positive
thanks a lot for this video!,Positive
i thank you wholeheartedly for making this video. this have been utterly and outmost useful. you are outstanding in explaining complex topic and being able to make us understand all the difficult bits.,Positive
thank you man,Positive
nice,Positive
user will enter a floating point number let say 238.915. your task,Positive
give me your contact number brother,Positive
what an amazing course!  thank you sir.,Positive
thanks,Positive
impressive,Positive
"very useful in getting started with python, after that their is another course of freecodecamp regarding pandas which you should see for going for data analysis using pandas",Positive
"bundle of thanks sir ,i have done the course now and i have learn lot of things about python..<br>now ,i am working on it more .... and again thanks sir",Positive
thank youu 🎉🎉🎉,Positive
soo is good,Positive
thank you. you are doing a great work for people like us !,Positive
"i am new to data science i just started so, can anyone help me what next to learn when i finish this course.",Positive
thanks sir,Positive
tnx,Positive
congratulations,Positive
tq,Positive
Fully understand,Positive
good see teacher ❤,Positive
teacher teach java like c c basic advanced level,Positive
video upload 2years ago worth watch 2023 mean 150 video learn c,Positive
good see teacher ❤,Positive
507 brain computer heart 😁😁😁,Positive
madam like specialize c welcome c001lectureure exactly look like pay course watch 👍👍,Positive
like,Positive
this is beautiful,Positive
dazzling examples,Positive
vivid language choice,Positive
you express your ideas so well,Positive
this was a delight to read,Positive
this is a persuasive argument,Positive
you show an impressive grasp on this subject,Positive
you are gifted,Positive
you are so clever,Positive
what a great teacher you are,Positive
i value these thoughts,Positive
you are such a motivated worker,Positive
you show great attention to detail,Positive
you are so artistic,Positive
i am so proud of you,Positive
lovely handwriting,Positive
great example,Positive
you worked so hard,Positive
you are a star,Positive
you learned so much,Positive
you are so smart,Positive
you’ve made a lot of progress,Positive
what bright thinking,Positive
you rocked this,Positive
great thinking,Positive
you did your best,Positive
I appreciate your well taught classes ,Positive
i love this,Positive
you can do hard things,Positive
you are talented,Positive
you amaze me,Positive
you discovered something new,Positive
i enjoyed watching this,Positive
you are so ambitious,Positive
i appreciate your hard work,Positive
this is magical work,Positive
you did it,Positive
you’ve achieved so much,Positive
you really challenged yourself,Positive
i admire you,Positive
you are unstoppable,Positive
you have great ideas,Positive
this really sparkles,Positive
what a great vision you have,Positive
you have really improved,Positive
you’ve really grown,Positive
you are a snappy problem-solver,Positive
this really shines,Positive
explained very well,Positive
you make me want to learn more,Positive
this made me smile,Positive
you are a winner,Positive
i love your creativity,Positive
you are so intelligent,Positive
you should be proud,Positive
you have amazing potential,Positive
this is top-notch,Positive
you deserve a high five,Positive
way to think it through,Positive
this blew me away,Positive
these are fabulous ideas,Positive
this gets my seal of approval,Positive
this is quality work,Positive
you helped me reach my goal,Positive
out of this world,Positive
you’re on top of it,Positive
i can tell this is your best effort,Positive
i love how motivated you are,Positive
you are so focused,Positive
i am so lucky to have learnt from you,Positive
i love your enthusiasm,Positive
i truly love your channel. keep doing the best work.,Positive
such creative videos you’ve on this channel,Positive
i’ve never witnessed such awesome editing as this one,Positive
"following your channel from the last two years, interesting content",Positive
"you’re working so hard, may all your wishes come true",Positive
"whoever is watching this, never give up. god is with you",Positive
"love this video, i think i’ve watched it four times",Positive
very well-researched and fine-made video this is,Positive
"thank you so much for this educational video, i learned so much",Positive
"wow, youtube is getting better at recommending videos",Positive
"wow, this video quality is awesome",Positive
i just discovered this channel and am amazed at the content quality,Positive
i can see that your content quality is improving. keep it going,Positive
i’ve just realized that i’ve been watching your videos for about two years,Positive
"your videos are catchy, i never miss a single second of them",Positive
found your video at the perfect time when i needed the most,Positive
i really can’t thank you enough for such interactive content,Positive
"keep sharing your valuable tips, learning a lot from you",Positive
"enjoy your teaching style, all things to the point. great content",Positive
"i’m appreciating your work, and my all doubts are clear",Positive
you saved my hours of effort with just a few minutes video,Positive
"to be honest, i learn more from your videos than i do in my school",Positive
"the way you explain everything is so fine, there’s no need to watch another video",Positive
i wish classroom teaching is also this entertaining and easy to understand,Positive
"with every video, you’re getting perfect. i’m here for all your support",Positive
i can’t thank you enough for such a well-researched video. perfect video on the subject,Positive
hats off to you and your team for putting your best efforts into this video,Positive
the content quality is the main thing that makes us watch your videos again,Positive
it is the best video ever,Positive
it has greatest information,Positive
this video is awesome,Positive
this video is fantastic,Positive
this is a amazing video,Positive
it has excellent content,Positive
it is wonderful,Positive
this video is outstanding,Positive
this is a superb video,Positive
this video is brilliant,Positive
it is the most impressive video,Positive
this video is incredible,Positive
it is a phenomenal video,Positive
this video has fabulous information,Positive
this video is marvelous,Positive
this video has exceptional information,Positive
this video is remarkable,Positive
this video is splendid,Positive
this video is a perfect one to learn,Positive
it is a awe-inspiring,Positive
this is a epic one,Positive
this video is magnificent,Positive
this video has beautiful contentthis video is flawless,Positive
this video is done by a genius,Positive
great explanation,Positive
you are a champion,Positive
masterful,Positive
you are a masterpiece,Positive
this person is a legend,Positive
this is a divine,Positive
this video is glorious,Positive
this is an exemplary video,Positive
this is the phenomenal one,Positive
this video excellent content,Positive
this video is excellentthis is a remarkable video,Positive
this has wonderful content,Positive
this is a fabulous video,Positive
this is fab,Positive
it has fantastic content,Positive
this person is inspiring,Positive
this is a astounding video,Positive
this made me miraculous,Positive
fully understand,Positive
this is really a transcendent video,Positive
great,Positive
awesome,Positive
thanks,Positive
best,Positive
fantastic,Positive
amazing,Positive
excellent,Positive
wonderful,Positive
terrific,Positive
outstanding,Positive
superb,Positive
brilliant,Positive
impressive,Positive
incredible,Positive
phenomenal,Positive
fabulous,Positive
marvelous,Positive
spectacular,Positive
exceptional,Positive
remarkable,Positive
splendid,Positive
perfect,Positive
stellar,Positive
awe-inspiring,Positive
epic,Positive
magnificent,Positive
cool,Positive
stunning,Positive
beautiful,Positive
flawless,Positive
genius,Positive
champion,Positive
masterful,Positive
masterpiece,Positive
legendary,Positive
majestic,Positive
divine,Positive
supreme,Positive
glorious,Positive
grand,Positive
exemplary,Positive
phenomenal,Positive
excellent,Positive
remarkable,Positive
wonderful,Positive
fabulous,Positive
fantastic,Positive
inspiring,Positive
breathtaking,Positive
astounding,Positive
miraculous,Positive
transcendent,Positive
sublime,Positive
radiant,Positive
incredible work,Positive
you're a true talent,Positive
remarkable effort,Positive
absolutely phenomenal,Positive
your dedication shines through,Positive
you're a shining star,Positive
bravo,Positive
you're truly exceptional,Positive
outstanding job,Positive
you're a true inspiration,Positive
spectacular performance,Positive
you're on fire,Positive
inspirational,Positive
absolutely breathtaking,Positive
you're a marvel,Positive
much awaited ,Positive
impressive skills,Positive
you're a gem,Positive
exceptional work,Positive
you're a legend,Positive
absolutely outstanding,Positive
you're a marvel,Positive
unbelievable talent,Positive
you're on another level,Positive
absolutely fantastic,Positive
you're a creative genius,Positive
breathtaking performance,Positive
you're a true artist,Positive
absolutely splendid,Positive
nice explanation,Positive
you're a virtuoso,Positive
incredibly well done,Positive
you're a true professional,Positive
absolutely marvelous,Positive
you're a powerhouse,Positive
you're a true champion,Positive
absolutely superb,Positive
you're unstoppable,Positive
you're a virtuoso,Positive
absolutely outstanding,Positive
you're a legend,Positive
you're a creative mastermind,Positive
absolutely remarkable,Positive
you're a visionary,Positive
you're a trailblazer,Positive
absolutely brilliant,Positive
you're a maestro,Positive
absolutely stunning,Positive
you're a phenomenon,Positive
you're a true leader,Positive
absolutely splendid,Positive
you're a powerhouse,Positive
you're a shining example,Positive
absolutely magnificent,Positive
you're a true prodigy,Positive
you're a force to be reckoned with,Positive
absolutely breathtaking,Positive
you're a true virtuoso,Positive
you're an absolute gem,Positive
absolutely sensational,Positive
you're a true inspiration,Positive
you're a true visionary,Positive
absolutely phenomenal,Positive
you're a creative genius,Positive
you're a true luminary,Positive
absolutely magnificent,Positive
you're a marvel,Positive
you're a true talent,Positive
absolutely spectacular,Positive
you're a creative mastermind,Positive
you're a true legend,Positive
absolutely outstanding,Positive
you're a creative powerhouse,Positive
you're a true genius,Positive
absolutely phenomenal,Positive
you're an absolute inspiration,Positive
you're a true visionary,Positive
absolutely remarkable,Positive
you're a true leader,Positive
you're a creative force,Positive
absolutely brilliant,Positive
you're a true champion,Positive
you're an absolute marvel,Positive
absolutely outstanding,Positive
you're a true inspiration,Positive
you're a creative genius,Positive
absolutely phenomenal,Positive
you're a true luminary,Positive
absolutely magnificent,Positive
you're a creative prodigy,Positive
you're a true legend,Positive
absolutely breathtaking,Positive
you're an absolute gem,Positive
absolutely sensational,Positive
you're a true visionary,Positive
you're a creative powerhouse,Positive
absolutely outstanding,Positive
you're a true genius,Positive
absolutely phenomenal,Positive
you're a true inspiration,Positive
absolutely remarkable,Positive
you're a creative mastermind,Positive
😊,Positive
👍,Positive
🙌,Positive
😄,Positive
❤️,Positive
🤍,Positive
🖤,Positive
🥰,Positive
😍,Positive
🤩,Positive
😘,Positive
🤠,Positive
🩵,Positive
💙,Positive
💜,Positive
🤟🏻,Positive
🤘🏻,Positive
✌🏻,Positive
🙌🏻,Positive
🫶🏻,Positive
👍🏻,Positive
nice explanation,Positive
nice teaching,Positive
beauty,Positive
Very helpful class mam,Positive
come to my rescue,Positive
why our lecturers can not be like this,Positive
ultimate explanation mam,Positive
thanks,Positive
cool,Positive
use ful one👍,Positive
much awaited ,Positive
"at 9hrs, 3 more to go initial part was boring af - but imp for foundationedit: completed full 12 hrs ✅amazing course.review: you wont become master of python, you'll be introduced to all basic libraries and some functions.nowsome programming practice2. peobability 3. machine learning maths from nptel",Positive
goat,Positive
great video,Positive
glad watch 😍,Positive
deserves more likes,Positive
deserves million views,Positive
this video was terrible. Waste of time,Negative
i didn't find this helpful at all,Negative
what a disappointment,Negative
i expected better quality,Negative
I regret watching this,Negative
"this video is so boring, i fell asleep halfway through",Negative
waste of time! i didn't learn anything useful,Negative
"terrible presentation, couldn't understand a thing",Negative
"the instructor's voice is so monotonous, it's putting me to sleep",Negative
this video is a complete waste of bandwidth,Negative
"horrible video quality, can't even see what's on the screen",Negative
"this teacher is so unengaging, i can't focus on the content",Negative
"i regret clicking on this video, it's so bad",Negative
i can't believe i wasted my time watching this nonsense,Negative
this video is like watching paint dry,Negative
the information in this video is outdated and irrelevant,Negative
i'm dumber for having watched this,Negative
i've seen better educational content on kids' shows,Negative
the presenter clearly has no idea what they're talking about,Negative
"this video is so poorly organized, it's hard to follow",Negative
i wish i could unwatch this video,Negative
i'd rather read a dictionary than watch this again,Negative
"the audio quality is so bad, i can barely hear anything",Negative
i want my time back after watching this garbage,Negative
i'd give this video a negative rating if i could,Negative
"the content is so basic, it's insulting",Negative
i've seen better explanations from a toddler,Negative
"this video is a joke, and not a funny one",Negative
"the presenter speaks too fast, can't keep up",Negative
i'd rather listen to nails on a chalkboard than watch this again,Negative
the examples given in this video are completely nonsensical,Negative
this video is a prime example of educational malpractice,Negative
i can't believe i wasted my bandwidth on this trash,Negative
"the presenter's accent is so thick, i can't understand a word",Negative
this video is worse than a high schooler's powerpoint presentation,Negative
this is hands-down the worst educational video i've ever seen,Negative
this video gave me a headache,Negative
the presenter's voice is like nails on a chalkboard,Negative
watching this video was a complete and utter waste of time,Negative
i'm pretty sure i lost brain cells watching this,Negative
i've never been more disappointed in a video,Negative
this video is so bad,Negative
the presenter rambles on and on without saying anything useful,Negative
i'd rather sit through a root canal than watch this again,Negative
this video is a masterclass in how not to teach,Negative
"the content is so confusing, it's like they're speaking another language",Negative
i'd rather watch paint dry than subject myself to this torture again,Negative
the information presented in this video is completely wrong,Negative
i've had more engaging conversations with a brick wall,Negative
this video is a disgrace to education,Negative
i want a refund for the time i wasted watching this garbage,Negative
watching this video was the worst decision of my life,Negative
"the presenter is so dull, it's like watching grass grow",Negative
this video is like a bad joke that never ends,Negative
"the presenter's explanations are so convoluted, it's laughable",Negative
this video is a waste of internet bandwidth,Negative
i've never been so frustrated watching a video before,Negative
the information in this video is completely useless,Negative
this video is a dumpster fire of misinformation,Negative
i'd rather watch grass grow than sit through this torture again,Negative
the presenter's voice is like listening to a dying cat,Negative
watching this video was a complete and utter waste of time,Negative
this video should be used as an example of what not to do in education,Negative
i've seen better educational content on tiktok,Negative
the presenter's jokes are cringeworthy at best,Negative
i wouldn't recommend this video to my worst enemy,Negative
"the presenter's explanations are so unclear, it's like they're speaking in code",Negative
i'd rather watch a documentary on paint drying than sit through this again,Negative
this video is a prime example of wasted potential,Negative
i've seen better educational content on infomercials,Negative
"this video is so bad, it's almost comical",Negative
the presenter's lack of knowledge is astounding,Negative
i want my time back after watching this disaster,Negative
this video is the epitome of wasted potential,Negative
i've seen better educational content on the back of cereal boxes,Negative
watching this video was like watching paint dry,Negative
this video is like a bad joke that never lands,Negative
i'd rather watch a snail race than sit through this again,Negative
this video is an embarrassment to the field of education,Negative
the presenter's incompetence knows no bounds,Negative
i've seen more engaging educational content on public access television,Negative
watching this video was the biggest mistake of my life,Negative
this video is like a bad dream that never ends,Negative
i'd rather watch grass grow than subject myself to this torture again,Negative
the presenter's lack of enthusiasm is palpable,Negative
i've seen better educational content on cereal boxes,Negative
watching this video was like watching paint dry,Negative
this video is like a bad dream that never ends,Negative
i'd rather have a tooth pulled than sit through this again,Negative
the presenter's lack of charisma is astounding,Negative
i've seen more educational content on saturday morning cartoons,Negative
watching this video was like watching a train wreck in slow motion,Negative
the presenter's lack of enthusiasm is contagious—in a bad way,Negative
this video is like a bad dream that never ends,Negative
watching this video was the biggest mistake of my life,Negative
this video is an embarrassment to the field of education,Negative
i've seen better educational content on public access television,Negative
i've never been so frustrated watching a video before,Negative
the presenter's incompetence knows no bounds,Negative
this video is like a bad joke that never lands,Negative
this video is a dumpster fire of misinformation,Negative
i'd rather watch a snail race than sit through this again,Negative
the presenter's lack of knowledge is astounding,Negative
"this video is so bad, it's almost comical",Negative
i want my time back after watching this disaster,Negative
this video is the epitome of wasted potential,Negative
i've never been more disappointed in a video,Negative
i wouldn't recommend this video to my worst enemy,Negative
"the presenter's explanations are so unclear, it's like they're speaking in code",Negative
i've seen better explanations from a toddler,Negative
"this video is a joke, and not a funny onethis is boring video",Negative
boring,Negative
this video made me get more confused ,Negative
confusing,Negative
this is a useless video,Negative
useless,Negative
this has dull content,Negative
dull,Negative
this person teaches very slow,Negative
slow,Negative
this video is confusing and frustrating,Negative
frustrating,Negative
this has incomplete content,Negative
incomplete,Negative
content is outdated,Negative
outdated,Negative
it is uninspiring,Negative
uninspiring,Negative
has pointless content,Negative
pointless,Negative
jargon,Negative
it has repetitive content,Negative
repetitive,Negative
it has more irrelevant content,Negative
irrelevant,Negative
this person is lazy,Negative
lazy,Negative
they give biased info,Negative
biased,Negative
disorganized,Negative
has shallow information,Negative
shallow,Negative
this video is overrated,Negative
overrated,Negative
painful,Negative
simplistic,Negative
this video has poor content,Negative
poor,Negative
this has no or empty content,Negative
empty,Negative
this video flawed,Negative
flawed,Negative
this has just basic info,Negative
basic,Negative
this wasted my tym,Negative
wasted,Negative
this video is awkward,Negative
awkward,Negative
this is inappropriate,Negative
inappropriate,Negative
this is inaccurate video,Negative
inaccurate,Negative
this is a horrible video,Negative
horrible,Negative
this is a stale video,Negative
stale,Negative
this video lacks even the basic content,Negative
lacking,Negative
amateur,Negative
this is a tedious one,Negative
tedious,Negative
this made me unengaging,Negative
unengaging,Negative
this is really a dumb video,Negative
dumb,Negative
it has cluttered info,Negative
cluttered,Negative
it is very boring,Negative
very boring,Negative
too basic,Negative
poor quality,Negative
extremely dry,Negative
very dull,Negative
confusing content,Negative
incomplete information,Negative
outdated material,Negative
uninspiring presentation,Negative
pointless video,Negative
biased viewpoint,Negative
repetitive content,Negative
irrelevant examples,Negative
lazy explanation,Negative
biased perspective,Negative
disorganized mess,Negative
shallow depth,Negative
not good,Negative
not nice,Negative
overrated lecture,Negative
painfully slow,Negative
simplistic approach,Negative
awful delivery,Negative
poorly executed,Negative
empty content,Negative
wasted time,Negative
awkwardly presented,Negative
inaccurate information,Negative
horribly dull,Negative
disjointed explanation,Negative
stale presentation,Negative
lacking substance,Negative
tediously long,Negative
unengaging material,Negative
dumb concept,Negative
underwhelming content,Negative
confusingly explained,Negative
incoherent material,Negative
this video lacks substance,Negative
the presentation is uninspiring,Negative
the content is poorly researched,Negative
the information provided is shallow,Negative
this video is a waste of bandwidth,Negative
the delivery is amateurish,Negative
the explanation is overly simplistic,Negative
the examples are unrelatable,Negative
the material is cluttered and confusing,Negative
the video quality is subpar,Negative
the content feels outdated,Negative
the pacing is painfully slow,Negative
the presenter lacks charisma,Negative
the material is overly repetitive,Negative
the explanation lacks depth,Negative
the video is poorly structured,Negative
the content is irrelevant to the topic,Negative
the presenter's tone is monotonous,Negative
the examples provided are irrelevant,Negative
the video lacks coherence,Negative
the information is presented in a disjointed manner,Negative
the presentation lacks engagement,Negative
the material is too basic,Negative
the video feels like a waste of time,Negative
the explanations are unclear,Negative
the content is disorganized,Negative
the presenter's delivery is awkward,Negative
the material is outdated and irrelevant,Negative
the video lacks creativity,Negative
the content feels rushed,Negative
the presenter's explanations are confusing,Negative
the examples provided are uninspiring,Negative
the video lacks depth,Negative
the content is repetitive and dull,Negative
the explanations lack clarity,Negative
the video feels like a chore to watch,Negative
the presenter lacks enthusiasm,Negative
the material feels outdated,Negative
the content is presented in a boring manner,Negative
the presenter's voice is grating,Negative
the material is presented in a dry manner,Negative
the video feels like a waste of time,Negative
the content is difficult to understand,Negative
the examples provided are irrelevant,Negative
the presentation lacks energy,Negative
the material is too basic,Negative
the video feels outdated,Negative
the explanations are overly simplistic,Negative
the presenter's delivery is uninspiring,Negative
the material lacks depth,Negative
the content is repetitive,Negative
the video feels like a waste of time,Negative
the explanations are unclear,Negative
the content is disorganized,Negative
the presenter lacks engagement,Negative
the material is confusing,Negative
the video lacks coherence,Negative
